YAL001C	YBR123C
YAL005C	YCL028W
YAL005C	YDR192C
YAL005C	YOR160W
YAR031W	YCR030C
YAR031W	YDL054C
YAR035W	YDR328C
YBL007C	YBL047C
YBL007C	YBR059C
YBL007C	YBR150C
YBL007C	YCL008C
YBL007C	YCL034W
YBL007C	YCR030C
YBL007C	YCR088W
YBL007C	YDL117W
YBL007C	YDL146W
YBL007C	YGL104C
YBL007C	YGR268C
YBL007C	YLR078C
YBL007C	YLR337C
YBL007C	YMR109W
YBL007C	YNL116W
YBL007C	YOR388C
YBL007C	YPR091C
YBL041W	YDL020C
YBL041W	YDL147W
YBL041W	YDL188C
YBL041W	YER012W
YBL041W	YHR200W
YBL044W	YJL159W
YBL044W	YMR304W
YBL045C	YDL179W
YBL045C	YGL137W
YBL045C	YMR036C
YBL045C	YMR047C
YBL045C	YOR125C
YBL047C	YBR059C
YBL047C	YCR030C
YBL047C	YDR192C
YBL053W	YPR165W
YBL078C	YHR171W
YBL078C	YNL223W
YBL102W	YOR036W
YBR018C	YDL134C
YBR018C	YDR142C
YBR018C	YER123W
YBR018C	YGL137W
YBR018C	YPL031C
YBR024W	YPR119W
YBR038W	YNL307C
YBR038W	YPR106W
YBR043C	YJL155C
YBR050C	YDR099W
YBR057C	YGL192W
YBR059C	YCL032W
YBR059C	YER144C
YBR059C	YFR014C
YBR067C	YNL237W
YBR081C	YDR176W
YBR081C	YOL148C
YBR119W	YLR298C
YBR119W	YMR125W
YBR126C	YCR079W
YBR126C	YDR074W
YBR126C	YER112W
YBR126C	YLL019C
YBR126C	YMR139W
YBR152W	YDR473C
YBR152W	YPR178W
YBR158W	YDR111C
YBR162C	YPR155C
YBR183W	YBR290W
YBR183W	YDR276C
YBR183W	YML048W
YBR193C	YDL005C
YBR193C	YER012W
YBR193C	YGR104C
YBR193C	YMR047C
YBR193C	YOR264W
YBR216C	YMR047C
YBR221C	YCR079W
YBR221C	YER178W
YBR221C	YFR004W
YBR221C	YGL130W
YBR221C	YGR193C
YBR221C	YNL071W
YBR234C	YDL029W
YBR234C	YGL173C
YBR234C	YJR065C
YBR234C	YLR370C
YBR234C	YMR109W
YBR234C	YNR035C
YBR273C	YMR047C
YBR280C	YDL132W
YBR280C	YDR328C
YBR280C	YEL060C
YBR289W	YER112W
YBR289W	YFL049W
YBR289W	YOR290C
YBR289W	YPL016W
YBR290W	YCL052C
YBR290W	YCR011C
YBR290W	YML048W
YBR298C	YDR276C
YBR298C	YGR041W
YBR298C	YML048W
YBR298C	YNL008C
YCL008C	YMR032W
YCL008C	YPL065W
YCL028W	YER125W
YCL032W	YDR032C
YCL032W	YOR036W
YCL032W	YPR182W
YCL039W	YDR255C
YCL039W	YDR342C
YCL039W	YMR047C
YCL052C	YEL060C
YCR004C	YDR032C
YCR045C	YOR348C
YCR079W	YER178W
