YAL002W	YLR396C
YAL005C	YNL007C
YAL005C	YNL077W
YAL005C	YPL240C
YAL034C	YBR198C
YAL064W	YHR114W
YAR023C	YHL048W
YAR064W	YBR109C
YBL049W	YBR072W
YBL049W	YHL010C
YBL049W	YIL097W
YBL075C	YDL132W
YBL075C	YGL004C
YBL075C	YGL190C
YBL075C	YKR036C
YBL075C	YNL007C
YBL075C	YNL077W
YBL075C	YOR212W
YBR006W	YKL023W
YBR019C	YDR225W
YBR019C	YER133W
YBR019C	YHL019C
YBR019C	YJR035W
YBR019C	YLR320W
YBR019C	YNL250W
YBR019C	YOL150C
YBR019C	YOR212W
YBR019C	YPL149W
YBR036C	YBR161W
YBR036C	YCL052C
YBR036C	YGR284C
YBR036C	YJR117W
YBR036C	YKL065C
YBR036C	YPL264C
YBR045C	YER133W
YBR045C	YOR178C
YBR072W	YBR109C
YBR072W	YBR198C
YBR072W	YDL200C
YBR072W	YDL239C
YBR072W	YER012W
YBR072W	YER133W
YBR072W	YGL004C
YBR072W	YHR030C
YBR072W	YIL007C
YBR072W	YIL046W
YBR072W	YIL066C
YBR072W	YJR035W
YBR072W	YKR036C
YBR072W	YLR097C
YBR072W	YLR320W
YBR072W	YNL317W
YBR072W	YNR019W
YBR072W	YOR212W
YBR072W	YOR269W
YBR072W	YPR054W
YBR072W	YPR178W
YBR099C	YER133W
YBR101C	YMR173W
YBR109C	YBR196C
YBR109C	YDR032C
YBR109C	YDR155C
YBR109C	YJR104C
YBR109C	YKL152C
YBR109C	YKL175W
YBR109C	YKL210W
YBR109C	YMR105C
YBR109C	YNL053W
YBR109C	YNL281W
YBR109C	YOR035C
YBR128C	YPL120W
YBR136W	YLR025W
YBR136W	YOR027W
YBR137W	YOR007C
YBR161W	YJR001W
YBR169C	YDL005C
YBR169C	YGL190C
YBR169C	YNL007C
YBR193C	YDL005C
YBR193C	YER012W
YBR193C	YOL051W
YBR196C	YDL132W
YBR196C	YDL200C
YBR196C	YDR030C
YBR196C	YER133W
YBR196C	YGL004C
YBR196C	YGL190C
YBR196C	YHR030C
YBR196C	YIL007C
YBR196C	YIL046W
YBR196C	YIL113W
YBR196C	YJR035W
