YAL002W	YDR171W
YAL015C	YDL029W
YAL015C	YGR282C
YAL015C	YJL066C
YAL015C	YJR045C
YAL015C	YJR068W
YAL015C	YML085C
YAL016W	YDL188C
YAL016W	YFR024C-A
YAL016W	YFR040W
YAL016W	YGL190C
YAL016W	YHR082C
YAL016W	YJL020C
YAL016W	YMR109W
YAL016W	YOL113W
YAL016W	YPL152W
YAL017W	YCL027W
YAL017W	YDR099W
YAL017W	YER054C
YAL017W	YER133W
YAL017W	YFR053C
YAL017W	YKL035W
YAL017W	YLR258W
YAL017W	YPR160W
YAL027W	YDR381W
YAL028W	YBL050W
YAL028W	YDL239C
YAL032C	YLR117C
YAL032C	YLR345W
YAL032C	YML049C
YAL032C	YNL189W
YAL032C	YOR036W
YAL032C	YPL151C
YAL043C	YDR228C
YAL043C	YER133W
YAL043C	YKR002W
YAL043C	YMR061W
YAL043C	YNL222W
YAL054C	YNL189W
YAL062W	YLR267W
YAL062W	YNL189W
YAL069W	YMR032W
YAR018C	YBL106C
YAR018C	YDL239C
YAR018C	YDR216W
YAR018C	YGL181W
YAR018C	YML064C
YAR019C	YDL126C
YAR019C	YDR099W
YAR019C	YJR045C
YAR019C	YML064C
YAR019C	YNL223W
YAR031W	YCR030C
YAR031W	YDL054C
YAR031W	YHR110W
YAR031W	YJR091C
YAR033W	YGL051W
YAR033W	YHL048W
YAR035W	YDR328C
YAR035W	YLR381W
YBL002W	YGL241W
YBL002W	YGR067C
YBL002W	YJL020C
YBL002W	YKR001C
YBL002W	YMR036C
YBL002W	YOL087C
YBL007C	YBL037W
YBL007C	YBL088C
YBL007C	YBR059C
YBL007C	YBR108W
YBL007C	YCL008C
YBL007C	YCL034W
YBL007C	YCL045C
YBL007C	YCR030C
YBL007C	YCR088W
YBL007C	YDL028C
YBL007C	YDL091C
YBL007C	YDL206W
YBL007C	YEL068C
YBL007C	YER133W
YBL007C	YFR024C-A
YBL007C	YGL035C
YBL007C	YGL181W
YBL007C	YGL237C
YBL007C	YHL002W
YBL007C	YHR016C
YBL007C	YIR003W
YBL007C	YJL020C
YBL007C	YJL151C
YBL007C	YLR206W
YBL007C	YLR337C
YBL007C	YMR109W
YBL007C	YMR147W
YBL007C	YMR253C
YBL007C	YNL106C
YBL007C	YNL116W
YBL007C	YNL138W
YBL007C	YNL176C
YBL007C	YNR041C
YBL007C	YOR181W
YBL007C	YOR211C
YBL007C	YOR329C
YBL007C	YOR388C
YBL007C	YPR091C
YBL017C	YMR197C
YBL017C	YOR181W
YBL030C	YBL050W
YBL030C	YBR109C
YBL030C	YDL132W
YBL030C	YGL237C
YBL030C	YML058W
YBL030C	YOR181W
YBL030C	YPL194W
YBL037W	YJR005W
YBL037W	YNL118C
YBL041W	YDL020C
YBL041W	YDL147W
YBL041W	YDL188C
YBL044W	YMR304W
YBL045C	YDL179W
YBL045C	YML064C
YBL045C	YMR036C
YBL045C	YNL118C
YBL050W	YBR272C
YBL050W	YER101C
YBL050W	YER133W
YBL050W	YKL196C
YBL050W	YLR117C
YBL050W	YMR197C
YBL050W	YOL018C
YBL050W	YOL032W
YBL050W	YOR036W
YBL050W	YOR245C
YBL051C	YKR096W
YBL056W	YGR205W
YBL056W	YHL030W
YBL056W	YJR121W
YBL056W	YMR246W
YBL056W	YOR020C
YBL056W	YOR086C
YBL058W	YDL126C
YBL058W	YDL190C
YBL064C	YDR069C
YBL065W	YER022W
YBL086C	YLR322W
YBL088C	YLR025W
YBL088C	YNL030W
YBL088C	YNL265C
YBL088C	YPL110C
YBL089W	YBR068C
YBL089W	YJR091C
YBL094C	YJR091C
YBL099W	YCR079W
YBL099W	YDL029W
YBL099W	YDL132W
YBL099W	YDL147W
YBL099W	YDL181W
YBL099W	YDR131C
YBL099W	YDR200C
YBL099W	YDR298C
YBL099W	YDR377W
YBL099W	YDR419W
YBL099W	YER133W
YBL099W	YGL081W
YBL099W	YIL066C
YBL099W	YJL106W
YBL099W	YJR121W
YBL099W	YKL016C
YBL099W	YKL193C
YBL099W	YKL215C
YBL099W	YLL019C
YBL099W	YLR238W
YBL099W	YML064C
YBL099W	YML081C-A
YBL099W	YNL012W
YBL099W	YOR181W
YBL099W	YPL078C
YBL099W	YPL271W
YBL102W	YOR036W
YBL106C	YHR161C
YBL106C	YIL033C
YBL106C	YLR206W
YBL106C	YOR197W
YBR001C	YDR099W
YBR001C	YJL020C
YBR010W	YDR224C
YBR010W	YDR477W
YBR010W	YGL194C
YBR010W	YKR029C
YBR010W	YNL030W
YBR011C	YBR109C
YBR011C	YDR129C
YBR011C	YGL237C
YBR011C	YLR425W
YBR011C	YMR267W
YBR011C	YPL066W
YBR024W	YPR119W
YBR036C	YCL052C
YBR036C	YGL051W
YBR036C	YHR110W
YBR036C	YHR140W
YBR036C	YJL196C
YBR036C	YJL214W
YBR036C	YKL065C
YBR036C	YML048W
YBR036C	YPL264C
YBR038W	YNL307C
YBR045C	YER054C
YBR045C	YER133W
YBR045C	YMR001C
YBR045C	YOR178C
YBR049C	YDR303C
YBR049C	YKR001C
YBR049C	YNL189W
YBR050C	YBR109C
YBR050C	YDR099W
YBR050C	YER133W
YBR057C	YGL192W
YBR058C	YOL113W
YBR059C	YER144C
YBR059C	YER177W
YBR059C	YJR045C
YBR068C	YFR024C-A
YBR083W	YDR224C
YBR083W	YNL030W
YBR096W	YIL034C
YBR108W	YCR088W
YBR108W	YFR024C-A
YBR108W	YHL002W
YBR108W	YHR016C
YBR108W	YJL020C
YBR108W	YMR032W
YBR108W	YPR154W
YBR109C	YDL028C
YBR109C	YDR099W
YBR109C	YDR231C
YBR109C	YER023W
YBR109C	YER177W
YBR109C	YFR004W
YBR109C	YFR053C
YBR109C	YGL229C
YBR109C	YGR050C
YBR109C	YJR104C
YBR109C	YJR121W
YBR109C	YKL210W
YBR109C	YLL040C
YBR109C	YLL050C
YBR109C	YLR259C
YBR109C	YLR433C
YBR109C	YML057W
