YAL024C	YHR158C
YAR002C-A	YNL030W
YBL002W	YGL241W
YBL002W	YKR001C
YBL002W	YNL262W
YBL002W	YOL108C
YBL010C	YKR022C
YBL026W	YDR378C
YBL026W	YJL124C
YBL026W	YJR121W
YBL026W	YML085C
YBL026W	YOR191W
YBL038W	YDR237W
YBL038W	YDR322W
YBL038W	YKR085C
YBL038W	YMR024W
YBL038W	YNL005C
YBL038W	YNL284C
YBL038W	YPR100W
YBL052C	YOR064C
YBR087W	YBR088C
YBR087W	YLR390W
YBR087W	YMR078C
YBR087W	YNL088W
YBR087W	YOR144C
YBR088C	YCR092C
YBR088C	YKL113C
YBR110W	YLR372W
YBR110W	YMR058W
YBR110W	YPL274W
YBR122C	YNL284C
YBR125C	YDR507C
YBR146W	YBR251W
YBR146W	YHL004W
YBR156C	YGL061C
YBR184W	YNL225C
YBR251W	YDR175C
YBR251W	YDR337W
YBR251W	YGL129C
YBR251W	YGR084C
YBR251W	YGR215W
YBR251W	YHL004W
YBR251W	YHR059W
YBR251W	YKL155C
YBR251W	YNL137C
YBR251W	YNL306W
YBR253W	YCR081W
YBR253W	YDR308C
YBR282W	YNL284C
YCL061C	YLR103C
YCL061C	YNL273W
YCR046C	YNL284C
YCR071C	YNL284C
YCR084C	YJL156C
YCR084C	YJR045C
YCR084C	YMR012W
YCR084C	YNL030W
YCR084C	YPL258C
YCR086W	YGL175C
YCR092C	YER091C
YCR092C	YOL090W
YCR098C	YPL274W
YDL052C	YMR106C
YDL058W	YNL030W
YDL217C	YJL054W
YDL217C	YOR297C
YDR113C	YGR098C
YDR113C	YJR045C
YDR115W	YNL041C
YDR116C	YNL185C
YDR116C	YNL284C
YDR123C	YOL108C
YDR237W	YNL185C
YDR237W	YNL284C
YDR322W	YNL185C
YDR322W	YNL284C
YDR337W	YHL004W
YDR372C	YDR523C
YDR378C	YJL124C
YDR378C	YNL070W
YDR378C	YOR320C
YDR414C	YLR372W
YDR414C	YMR292W
YDR414C	YNL044W
YDR468C	YGR172C
YDR468C	YNL044W
YDR502C	YGR040W
YDR507C	YHR107C
YDR507C	YJR076C
YDR507C	YKL101W
YDR507C	YLR314C
